Government,Canada, Carretera,1618.5,20.00, January,2014
Government,Germany, Carretera,1321,20.00, January,2014
Midmarket,France, Carretera,2178,15.00, June,2014
Midmarket,Germany, Carretera,888,15.00, June,2014
Midmarket,Mexico, Carretera,2470,15.00, June,2014
Government,Germany, Carretera,1513,350.00, December,2014
Midmarket,Germany, Montana,921,15.00, March,2014
Channel Partners,Canada, Montana,2518,12.00, June,2014
Government,France, Montana,1899,20.00, June,2014
Channel Partners,Germany, Montana,1545,12.00, June,2014
Midmarket,Mexico, Montana,2470,15.00, June,2014
Enterprise,Canada, Montana,2665.5,125.00, July,2014
Small Business,Mexico, Montana,958,300.00, August,2014
Government,Germany, Montana,2146,7.00, September,2014
Enterprise,Canada, Montana,345,125.00, October,2013
Midmarket,United States of America, Montana,615,15.00, December,2014
Government,Canada, Paseo,292,20.00, February,2014
Midmarket,Mexico, Paseo,974,15.00, February,2014
Channel Partners,Canada, Paseo,2518,12.00, June,2014
Government,Germany, Paseo,1006,350.00, June,2014
Channel Partners,Germany, Paseo,367,12.00, July,2014
Government,Mexico, Paseo,883,7.00, August,2014
Midmarket,France, Paseo,549,15.00, September,2013
Small Business,Mexico, Paseo,788,300.00, September,2013
Midmarket,Mexico, Paseo,2472,15.00, September,2014
Government,United States of America, Paseo,1143,7.00, October,2014
Government,Canada, Paseo,1725,350.00, November,2013
Channel Partners,United States of America, Paseo,912,12.00, November,2013
Midmarket,Canada, Paseo,2152,15.00, December,2013
Government,Canada, Paseo,1817,20.00, December,2014
Government,Germany, Paseo,1513,350.00, December,2014
Government,Mexico, Velo,1493,7.00, January,2014
Enterprise,France, Velo,1804,125.00, February,2014
Channel Partners,Germany, Velo,2161,12.00, March,2014
Government,Germany, Velo,1006,350.00, June,2014
Channel Partners,Germany, Velo,1545,12.00, June,2014
Enterprise,United States of America, Velo,2821,125.00, August,2014
Enterprise,Canada, Velo,345,125.00, October,2013
Small Business,Canada, VTT,2001,300.00, February,2014
